Date,Price,Open,High,Low,Vol.,Change %
5/31/2024,"47,100.00","47,700.00","48,300.00","47,100.00",1.97M,-1.26%
5/30/2024,"47,700.00","48,400.00","48,500.00","47,400.00",2.09M,-1.85%
5/29/2024,"48,600.00","49,450.00","49,450.00","48,600.00",1.39M,-1.02%
5/28/2024,"49,100.00","49,000.00","49,200.00","48,600.00",1.23M,0.41%
5/27/2024,"48,900.00","49,400.00","49,400.00","48,550.00",763.20K,-0.61%
5/24/2024,"49,200.00","49,600.00","50,600.00","48,500.00",2.18M,-0.61%
5/23/2024,"49,500.00","49,800.00","50,200.00","49,400.00",1.79M,-0.60%
5/22/2024,"49,800.00","50,500.00","51,200.00","49,750.00",2.43M,-0.40%
5/21/2024,"50,000.00","50,000.00","50,300.00","49,400.00",1.79M,0.81%
5/20/2024,"49,600.00","49,600.00","50,700.00","49,500.00",2.19M,0.51%
5/17/2024,"49,350.00","49,650.00","49,700.00","49,200.00",1.52M,-0.50%
5/16/2024,"49,600.00","49,150.00","50,300.00","49,050.00",2.10M,2.06%
5/15/2024,"48,600.00","48,450.00","48,950.00","48,350.00",1.39M,1.04%
5/14/2024,"48,100.00","48,800.00","49,200.00","48,050.00",1.95M,-1.03%
5/13/2024,"48,600.00","49,200.00","49,500.00","48,500.00",1.66M,-0.92%
5/10/2024,"49,050.00","49,600.00","49,750.00","48,950.00",827.70K,-0.91%
5/9/2024,"49,500.00","50,300.00","50,300.00","49,500.00",970.60K,-0.60%
5/8/2024,"49,800.00","50,100.00","50,800.00","49,800.00",1.06M,-0.40%
5/7/2024,"50,000.00","50,600.00","51,000.00","50,000.00",1.07M,-0.99%
5/6/2024,"50,500.00","49,300.00","50,500.00","49,300.00",1.19M,2.64%
5/3/2024,"49,200.00","49,650.00","49,900.00","49,000.00",700.80K,0.00%
5/2/2024,"49,200.00","49,300.00","49,700.00","48,850.00",568.70K,0.00%
4/26/2024,"49,200.00","49,600.00","50,100.00","49,100.00",774.50K,-0.81%
4/25/2024,"49,600.00","49,750.00","50,300.00","49,300.00",1.05M,-0.80%
4/24/2024,"50,000.00","49,450.00","50,400.00","49,350.00",1.42M,1.21%
4/23/2024,"49,400.00","49,200.00","50,500.00","48,500.00",2.27M,-1.40%
4/22/2024,"50,100.00","48,800.00","50,100.00","48,800.00",1.30M,3.62%
4/19/2024,"48,350.00","47,900.00","49,500.00","47,100.00",2.17M,0.52%
4/17/2024,"48,100.00","50,900.00","51,000.00","48,000.00",1.97M,-4.37%
4/16/2024,"50,300.00","49,700.00","51,200.00","49,450.00",2.35M,1.21%
4/15/2024,"49,700.00","53,300.00","54,500.00","49,700.00",2.54M,-6.93%
4/12/2024,"53,400.00","53,000.00","54,500.00","52,800.00",3.37M,0.75%
4/11/2024,"53,000.00","51,500.00","53,400.00","51,300.00",2.28M,1.92%
4/10/2024,"52,000.00","52,800.00","52,800.00","51,900.00",1.19M,-1.33%
4/9/2024,"52,700.00","51,100.00","52,700.00","50,800.00",1.75M,3.74%
4/8/2024,"50,800.00","50,200.00","51,600.00","50,000.00",904.80K,1.20%
4/5/2024,"50,200.00","50,900.00","50,900.00","50,200.00",1.65M,-1.57%
4/4/2024,"51,000.00","51,800.00","51,800.00","51,000.00",1.09M,0.00%
4/3/2024,"51,000.00","52,000.00","52,300.00","51,000.00",1.50M,-1.73%
4/2/2024,"51,900.00","51,900.00","52,400.00","51,500.00",1.58M,-0.38%
4/1/2024,"52,100.00","52,200.00","52,700.00","51,700.00",1.36M,0.00%
3/29/2024,"52,100.00","53,200.00","53,200.00","52,000.00",1.79M,-0.95%
3/28/2024,"52,600.00","53,200.00","53,900.00","52,500.00",1.36M,0.19%
3/27/2024,"52,500.00","53,300.00","53,300.00","52,500.00",1.61M,-0.94%
3/26/2024,"53,000.00","53,000.00","53,900.00","53,000.00",1.41M,0.00%
3/25/2024,"53,000.00","54,200.00","55,500.00","52,700.00",1.26M,-2.21%
3/22/2024,"54,200.00","53,300.00","56,700.00","53,300.00",4.36M,2.26%
3/21/2024,"53,000.00","53,200.00","53,400.00","52,800.00",1.86M,0.00%
3/20/2024,"53,000.00","51,600.00","53,100.00","50,500.00",3.13M,2.71%
3/19/2024,"51,600.00","52,100.00","52,100.00","51,000.00",765.30K,-0.77%
3/18/2024,"52,000.00","52,000.00","52,800.00","49,900.00",1.48M,-0.38%
3/15/2024,"52,200.00","51,600.00","52,800.00","51,000.00",1.43M,0.97%
3/14/2024,"51,700.00","53,500.00","53,500.00","51,400.00",1.48M,-1.71%
3/13/2024,"52,600.00","52,200.00","52,600.00","51,800.00",1.40M,1.15%
3/12/2024,"52,000.00","50,600.00","52,100.00","50,500.00",1.21M,2.97%
3/11/2024,"50,500.00","51,800.00","52,400.00","50,500.00",1.48M,-1.17%
3/8/2024,"51,100.00","53,400.00","53,400.00","49,600.00",2.74M,-4.13%
3/7/2024,"53,300.00","54,400.00","54,400.00","53,200.00",2.13M,-2.02%
3/6/2024,"54,400.00","54,000.00","54,800.00","53,500.00",1.59M,0.00%
3/5/2024,"54,400.00","53,500.00","54,400.00","52,900.00",1.20M,1.68%
3/4/2024,"53,500.00","53,600.00","54,500.00","52,500.00",2.33M,0.00%
3/1/2024,"53,500.00","53,300.00","54,300.00","52,400.00",1.25M,0.94%
2/29/2024,"53,000.00","53,900.00","54,000.00","53,000.00",1.34M,-1.67%
2/28/2024,"53,900.00","53,200.00","54,800.00","52,300.00",2.34M,1.70%
2/27/2024,"53,000.00","53,700.00","54,000.00","53,000.00",1.74M,-1.12%
