Date,Price,Open,High,Low,Vol.,Change %
3/1/2024,"15,150.00","15,150.00","15,250.00","15,050.00",2.74M,0.00%
2/29/2024,"15,150.00","15,550.00","15,650.00","15,150.00",3.53M,-1.62%
2/28/2024,"15,400.00","15,250.00","15,400.00","15,200.00",2.86M,1.32%
2/27/2024,"15,200.00","15,200.00","15,300.00","15,050.00",2.77M,0.66%
2/26/2024,"15,100.00","15,250.00","15,250.00","15,050.00",2.87M,-0.66%
2/23/2024,"15,200.00","15,650.00","15,950.00","15,200.00",7.79M,-1.94%
2/22/2024,"15,500.00","15,700.00","15,800.00","15,500.00",2.68M,-1.27%
2/21/2024,"15,700.00","15,600.00","15,800.00","15,350.00",4.06M,0.96%
2/20/2024,"15,550.00","15,750.00","15,750.00","15,450.00",3.65M,-1.27%
2/19/2024,"15,750.00","15,700.00","16,200.00","15,500.00",3.96M,0.32%
2/16/2024,"15,700.00","16,000.00","16,000.00","15,550.00",3.21M,-1.26%
2/15/2024,"15,900.00","15,100.00","16,050.00","15,100.00",11.57M,5.30%
2/7/2024,"15,100.00","14,900.00","15,150.00","14,850.00",3.83M,1.68%
2/6/2024,"14,850.00","15,050.00","15,200.00","14,850.00",1.64M,-0.67%
2/5/2024,"14,950.00","14,650.00","15,000.00","14,500.00",2.91M,3.10%
2/2/2024,"14,500.00","14,700.00","14,800.00","14,500.00",3.36M,-2.03%
2/1/2024,"14,800.00","14,850.00","14,900.00","14,600.00",3.64M,-0.34%
1/31/2024,"14,850.00","15,350.00","15,350.00","14,800.00",3.50M,-2.94%
1/30/2024,"15,300.00","14,750.00","15,400.00","14,750.00",7.94M,3.73%
1/29/2024,"14,750.00","14,750.00","14,750.00","14,550.00",2.07M,1.03%
1/26/2024,"14,600.00","14,700.00","14,700.00","14,600.00",1.72M,0.00%
1/25/2024,"14,600.00","14,650.00","14,650.00","14,450.00",1.53M,0.34%
1/24/2024,"14,550.00","14,750.00","14,950.00","14,400.00",3.48M,-2.02%
1/23/2024,"14,850.00","15,000.00","15,000.00","14,800.00",1.99M,-0.67%
1/22/2024,"14,950.00","15,050.00","15,150.00","14,900.00",1.96M,-0.33%
1/19/2024,"15,000.00","14,850.00","15,050.00","14,850.00",2.64M,2.04%
1/18/2024,"14,700.00","15,000.00","15,000.00","14,700.00",2.57M,-1.01%
1/17/2024,"14,850.00","15,250.00","15,250.00","14,850.00",2.54M,-1.66%
1/16/2024,"15,100.00","15,400.00","15,400.00","14,950.00",2.01M,-1.31%
1/15/2024,"15,300.00","15,000.00","15,350.00","14,950.00",5.99M,2.68%
1/12/2024,"14,900.00","14,700.00","15,000.00","14,600.00",6.19M,0.34%
1/11/2024,"14,850.00","14,600.00","15,100.00","14,600.00",11.33M,1.71%
1/10/2024,"14,600.00","14,550.00","14,600.00","14,000.00",6.95M,0.69%
1/9/2024,"14,500.00","14,600.00","14,750.00","14,400.00",4.66M,-0.68%
