Date,Price,Open,High,Low,Vol.,Change %
5/31/2024,"27,850.00","28,050.00","28,200.00","27,800.00",5.57M,0.00%
5/30/2024,"27,850.00","28,000.00","28,250.00","27,600.00",16.00M,-1.42%
5/29/2024,"28,250.00","28,900.00","28,900.00","28,250.00",10.81M,-2.08%
5/28/2024,"28,850.00","28,800.00","29,000.00","28,600.00",9.01M,0.52%
5/27/2024,"28,700.00","28,800.00","28,950.00","28,350.00",6.56M,0.00%
5/24/2024,"28,700.00","28,450.00","29,250.00","28,300.00",28.34M,0.53%
5/23/2024,"28,550.00","27,900.00","28,550.00","27,700.00",10.71M,1.96%
5/22/2024,"28,000.00","28,300.00","28,400.00","27,950.00",7.85M,-1.06%
5/21/2024,"28,300.00","28,300.00","28,450.00","27,850.00",9.96M,0.00%
5/20/2024,"28,300.00","28,750.00","28,750.00","28,200.00",10.16M,-0.70%
5/17/2024,"28,500.00","28,500.00","28,550.00","28,300.00",7.14M,0.35%
5/16/2024,"28,400.00","28,100.00","28,650.00","28,100.00",16.79M,2.16%
5/15/2024,"27,800.00","27,350.00","27,900.00","27,300.00",9.80M,2.02%
5/14/2024,"27,250.00","27,300.00","27,550.00","27,200.00",7.43M,0.00%
5/13/2024,"27,250.00","27,700.00","27,700.00","27,200.00",7.86M,-1.27%
5/10/2024,"27,600.00","27,900.00","28,000.00","27,600.00",6.90M,-0.72%
5/9/2024,"27,800.00","28,000.00","28,150.00","27,800.00",7.55M,-0.54%
5/8/2024,"27,950.00","28,300.00","28,350.00","27,850.00",9.18M,-1.24%
5/7/2024,"28,300.00","28,150.00","28,350.00","28,100.00",8.56M,0.71%
5/6/2024,"28,100.00","27,950.00","28,150.00","27,650.00",8.81M,2.00%
5/3/2024,"27,550.00","27,800.00","28,050.00","27,500.00",8.85M,-0.18%
5/2/2024,"27,600.00","28,350.00","28,350.00","27,500.00",10.05M,-2.13%
4/26/2024,"28,200.00","28,250.00","28,950.00","28,100.00",11.93M,-0.88%
4/25/2024,"28,450.00","28,600.00","28,650.00","28,200.00",9.38M,-0.52%
4/24/2024,"28,600.00","27,900.00","28,600.00","27,800.00",13.99M,2.88%
4/23/2024,"27,800.00","27,550.00","28,150.00","27,550.00",18.40M,0.54%
4/22/2024,"27,650.00","27,400.00","28,150.00","27,100.00",13.42M,3.17%
4/19/2024,"26,800.00","26,400.00","28,000.00","26,150.00",23.05M,0.00%
4/17/2024,"26,800.00","27,600.00","27,600.00","26,800.00",12.96M,-1.83%
4/16/2024,"27,300.00","27,650.00","27,800.00","27,200.00",22.65M,-0.73%
4/15/2024,"27,500.00","29,000.00","29,400.00","27,500.00",24.34M,-5.50%
4/12/2024,"29,100.00","29,100.00","29,400.00","28,900.00",15.45M,0.87%
4/11/2024,"28,850.00","28,900.00","29,100.00","28,750.00",10.46M,-0.86%
4/10/2024,"29,100.00","29,300.00","29,450.00","29,100.00",14.93M,-0.17%
4/9/2024,"29,150.00","29,000.00","29,250.00","28,700.00",17.95M,0.52%
4/8/2024,"29,000.00","29,300.00","29,450.00","28,950.00",26.85M,-2.03%
4/5/2024,"29,600.00","29,500.00","29,850.00","29,150.00",25.46M,-0.34%
4/4/2024,"29,700.00","30,100.00","30,200.00","29,650.00",30.27M,-1.33%
4/3/2024,"30,100.00","30,500.00","30,800.00","30,100.00",26.96M,-0.33%
4/2/2024,"30,200.00","30,500.00","30,950.00","29,600.00",105.09M,-3.82%
4/1/2024,"31,400.00","31,500.00","31,700.00","31,050.00",24.13M,-0.63%
3/29/2024,"31,600.00","32,250.00","32,600.00","31,600.00",34.57M,-1.25%
3/28/2024,"32,000.00","31,200.00","32,000.00","30,800.00",32.00M,3.56%
3/27/2024,"30,900.00","31,000.00","31,200.00","30,650.00",15.10M,-0.32%
3/26/2024,"31,000.00","30,800.00","31,000.00","30,750.00",19.27M,0.49%
3/25/2024,"30,850.00","31,600.00","31,700.00","30,800.00",25.05M,-2.53%
3/22/2024,"31,650.00","31,650.00","32,400.00","31,550.00",32.81M,0.48%
3/21/2024,"31,500.00","31,250.00","31,500.00","31,100.00",15.68M,1.12%
3/20/2024,"31,150.00","30,400.00","31,250.00","30,150.00",28.15M,2.47%
