Date,Price,Open,High,Low,Vol.,Change %
5/31/2024,"21,750","22,000","22,000","21,750",3.13M,-1.14%
5/30/2024,"22,000","21,850","22,000","21,600",5.83M,0.46%
5/29/2024,"21,900","22,350","22,450","21,900",5.54M,-1.79%
5/28/2024,"22,300","22,300","22,300","22,000",4.02M,1.36%
5/27/2024,"22,000","22,050","22,150","21,850",3.45M,0.00%
5/24/2024,"22,000","22,000","22,700","21,800",14.93M,-1.12%
5/23/2024,"22,250","22,100","22,250","22,000",3.62M,0.23%
5/22/2024,"22,200","22,600","22,750","22,200",6.63M,-1.77%
5/21/2024,"22,600","22,650","22,650","22,200",7.29M,0.44%
5/20/2024,"22,500","22,600","22,650","22,400",7.44M,0.90%
5/17/2024,"22,300","22,300","22,400","22,200",4.33M,0.00%
5/16/2024,"22,300","22,200","22,350","22,100",9.18M,2.06%
5/15/2024,"21,850","22,050","22,050","21,750",3.36M,0.46%
5/14/2024,"21,750","21,600","22,200","21,400",6.94M,1.87%
5/13/2024,"21,350","21,550","21,650","21,300",3.64M,-0.93%
5/10/2024,"21,550","21,600","21,600","21,450",2.71M,-0.23%
5/9/2024,"21,600","21,600","21,750","21,400",3.08M,0.23%
5/8/2024,"21,550","21,500","21,650","21,350",4.43M,-0.69%
5/7/2024,"21,700","21,850","21,900","21,550",2.61M,0.00%
5/6/2024,"21,700","21,400","21,750","21,350",4.44M,2.36%
5/3/2024,"21,200","21,500","21,750","21,200",5.63M,-0.93%
5/2/2024,"21,400","21,050","21,450","21,000",3.17M,1.42%
4/26/2024,"21,100","20,900","21,300","20,900",2.91M,-0.24%
4/25/2024,"21,150","21,400","21,500","21,050",3.79M,-1.17%
4/24/2024,"21,400","21,100","21,600","21,100",4.44M,1.90%
4/23/2024,"21,000","21,200","21,550","20,800",6.48M,-0.94%
4/22/2024,"21,200","21,150","21,400","21,100",5.87M,0.47%
4/19/2024,"21,100","21,000","21,500","20,950",8.95M,-1.86%
4/17/2024,"21,500","22,300","22,350","21,500",7.52M,-1.83%
4/16/2024,"21,900","21,949","22,337","21,366",9.41M,0.22%
4/15/2024,"21,851","22,920","23,114","21,803",11.38M,-4.66%
4/12/2024,"22,920","22,434","22,920","22,191",9.06M,3.06%
4/11/2024,"22,240","22,143","22,240","21,949",4.59M,0.00%
4/10/2024,"22,240","22,580","22,580","22,240",6.59M,-0.65%
4/9/2024,"22,386","22,046","22,434","21,997",5.83M,1.54%
4/8/2024,"22,046","22,046","22,191","21,900",8.40M,0.00%
4/5/2024,"22,046","22,240","22,386","21,949",7.37M,-2.16%
4/4/2024,"22,531","22,871","23,017","22,531",7.72M,-1.49%
4/3/2024,"22,871","23,405","23,405","22,823",8.77M,-2.28%
4/2/2024,"23,405","23,357","23,600","22,871",11.61M,-0.82%
4/1/2024,"23,600","23,697","23,891","23,260",5.85M,-4.07%
3/29/2024,"24,600","24,250","25,000","24,000",6.18M,1.44%
3/28/2024,"24,250","24,500","24,750","23,950",8.01M,0.21%
3/27/2024,"24,200","24,350","24,350","23,950",5.55M,-0.62%
3/26/2024,"24,350","23,900","24,400","23,850",5.06M,1.67%
3/25/2024,"23,950","24,150","24,750","23,650",7.52M,-1.03%
3/22/2024,"24,200","24,300","24,650","23,800",9.23M,-0.41%
3/21/2024,"24,300","23,900","24,400","23,650",10.26M,2.97%
3/20/2024,"23,600","22,350","23,600","22,000",27.15M,6.79%
3/19/2024,"22,100","22,250","22,350","21,900",3.97M,-0.67%
3/18/2024,"22,250","22,750","22,750","21,750",6.28M,-1.11%
3/15/2024,"22,500","21,850","22,600","21,700",8.53M,3.69%
3/14/2024,"21,700","22,150","22,150","21,600",3.86M,-1.59%
3/13/2024,"22,050","21,500","22,100","21,250",4.03M,3.52%
3/12/2024,"21,300","21,400","21,400","21,200",3.52M,0.00%
3/11/2024,"21,300","21,550","21,650","21,300",3.39M,-1.16%
3/8/2024,"21,550","21,950","22,000","21,550",7.43M,-1.37%
3/7/2024,"21,850","21,950","21,950","21,750",5.71M,-0.23%
3/6/2024,"21,900","22,200","22,350","21,850",5.29M,-0.90%
3/5/2024,"22,100","22,000","22,100","21,800",3.31M,0.45%
3/4/2024,"22,000","22,000","22,150","21,600",7.38M,0.46%
3/1/2024,"21,900","21,850","21,900","21,550",4.83M,0.00%
2/29/2024,"21,900","22,400","22,400","21,800",6.36M,-0.90%
2/28/2024,"22,100","22,050","22,150","21,850",4.68M,0.68%
2/27/2024,"21,950","22,000","22,000","21,750",4.72M,0.00%
2/26/2024,"21,950","21,900","22,000","21,650",4.29M,-0.23%
2/23/2024,"22,000","22,500","22,750","21,900",148.08K,-2.22%
2/22/2024,"22,500","22,400","22,500","22,200",4.24M,0.90%
2/21/2024,"22,300","22,500","22,550","22,200",5.64M,0.45%
2/20/2024,"22,200","22,050","22,550","21,900",6.74M,0.91%
2/19/2024,"22,000","22,200","22,200","21,750",7.48M,-0.45%
2/16/2024,"22,100","22,300","22,300","21,850",5.23M,0.00%
2/15/2024,"22,100","22,000","22,350","21,900",14.54M,1.84%
2/7/2024,"21,700","21,600","21,700","21,400",11.24M,1.40%
2/6/2024,"21,400","21,500","21,900","21,300",7.38M,0.94%
2/5/2024,"21,200","20,350","21,300","20,300",10.21M,4.69%
2/2/2024,"20,250","20,600","20,650","20,250",7.52M,-1.94%
2/1/2024,"20,650","20,750","20,800","20,450",4.25M,-0.48%
1/31/2024,"20,750","21,000","21,050","20,550",5.76M,-0.72%
1/30/2024,"20,900","20,850","20,900","20,600",3.59M,0.48%
1/29/2024,"20,800","20,850","20,900","20,700",2.18M,0.00%
1/26/2024,"20,800","20,650","20,850","20,650",2.17M,0.97%
1/25/2024,"20,600","20,900","20,900","20,550",3.84M,-1.20%
1/24/2024,"20,850","20,950","21,050","20,800",2.28M,-0.48%
1/23/2024,"20,950","21,100","21,250","20,900",4.13M,-0.71%
1/22/2024,"21,100","21,150","21,300","20,900",4.19M,0.00%
1/19/2024,"21,100","21,000","21,150","20,900",3.58M,1.44%
1/18/2024,"20,800","20,800","20,849","20,606",3.62M,0.00%
1/17/2024,"20,800","20,897","21,043","20,800",4.95M,-0.47%
1/16/2024,"20,897","20,508","20,897","20,460",4.25M,1.42%
1/15/2024,"20,606","20,508","20,946","20,508",6.44M,0.71%
1/12/2024,"20,460","20,363","20,606","20,217",9.66M,-0.47%
1/11/2024,"20,557","20,460","20,703","20,363",6.95M,0.48%
1/10/2024,"20,460","20,314","20,557","20,217",4.78M,0.48%
1/9/2024,"20,363","20,411","20,411","20,217",3.89M,0.24%
1/8/2024,"20,314","20,314","20,411","20,120",6.16M,0.97%
1/5/2024,"20,120","19,828","20,120","19,828",4.44M,1.47%
1/4/2024,"19,828","19,634","20,314","19,488",10.16M,1.49%
1/3/2024,"19,537","19,245","19,537","19,148",4.47M,1.52%
1/2/2024,"19,245","19,099","19,342","19,099",4.38M,1.02%
12/29/2023,"19,051","19,148","19,342","19,051",8.96M,-0.25%
12/28/2023,"19,099","18,710","19,099","18,662",5.15M,2.34%
12/27/2023,"18,662","18,565","18,710","18,565",1.90M,0.26%
12/26/2023,"18,613","18,516","18,613","18,467",1.73M,0.52%
12/25/2023,"18,516","18,273","18,613","18,224",1.53M,-1.25%
12/22/2023,"18,750","18,800","18,900","18,600",1.88M,0.00%
12/21/2023,"18,750","18,650","18,800","18,600",1.39M,0.27%
12/20/2023,"18,700","18,800","18,800","18,600",1.71M,0.27%
12/19/2023,"18,650","18,400","18,650","18,400",2.10M,0.54%
12/18/2023,"18,550","18,800","18,850","18,500",3.75M,-1.33%
12/15/2023,"18,800","18,850","19,050","18,800",1.78M,-0.53%
12/14/2023,"18,900","19,200","19,200","18,900",3.05M,-0.79%
12/13/2023,"19,050","19,200","19,400","19,050",3.33M,-0.78%
12/12/2023,"19,200","19,300","19,300","19,050",2.26M,0.00%
12/11/2023,"19,200","19,400","19,400","19,100",2.21M,-0.78%
12/8/2023,"19,350","19,300","19,450","19,250",4.54M,0.26%
12/7/2023,"19,300","19,300","19,500","19,100",7.03M,0.52%
12/6/2023,"19,200","19,200","19,300","19,100",4.69M,0.26%
12/5/2023,"19,150","19,200","19,200","19,000",2.57M,0.00%
12/4/2023,"19,150","19,150","19,200","19,000",8.28M,1.06%
12/1/2023,"18,950","18,800","19,000","18,650",1.74M,1.34%
11/30/2023,"18,700","18,800","18,950","18,600",1.31M,-0.53%
11/29/2023,"18,800","18,800","18,900","18,650",1.76M,0.53%
11/28/2023,"18,700","18,450","18,700","18,300",1.62M,1.36%
11/27/2023,"18,450","18,800","18,800","18,450",2.54M,-1.86%
11/24/2023,"18,800","18,800","18,900","18,550",2.66M,0.00%
11/23/2023,"18,800","19,300","19,350","18,800",2.60M,-2.08%
11/22/2023,"19,200","19,100","19,250","18,850",2.34M,0.79%
11/21/2023,"19,050","19,100","19,350","19,050",2.03M,0.26%
11/20/2023,"19,000","19,050","19,150","18,750",3.19M,-0.78%
11/17/2023,"19,150","19,600","19,700","19,100",4.53M,-2.30%
11/16/2023,"19,600","19,550","19,650","19,400",2.60M,-0.25%
11/15/2023,"19,650","19,950","20,000","19,600",5.37M,0.26%
11/14/2023,"19,600","19,250","19,700","19,200",6.81M,2.08%
11/13/2023,"19,200","19,200","19,350","18,900",2.97M,1.05%
11/10/2023,"19,000","19,000","19,350","18,950",3.97M,-1.55%
11/9/2023,"19,300","19,500","19,550","19,200",3.01M,-0.52%
11/8/2023,"19,400","18,700","19,400","18,650",3.58M,3.74%
11/7/2023,"18,700","19,000","19,000","18,550",2.33M,-1.06%
11/6/2023,"18,900","18,950","18,950","18,700",2.53M,1.61%
11/3/2023,"18,600","18,900","18,900","18,550",3.34M,0.27%
